Initial_Altitude_km,Target_Altitude_km,Initial_Mass_kg,Max_Thrust_N,Specific_Impulse_s,Initial_Speed_km_s,Final_Speed_Thrust_km_s,Final_Mass_kg,Propellant_Used_kg,Time_of_Flight_days,Number_of_Orbits,Number_of_Segments,Coast_Apoapsis_km,Coast_Periapsis_km,Coast_Radius_Error_percent,Coast_Eccentricity,Speed_After_Coast_km_s,DeltaV_km_s
500.0,35000.0,8000.0,0.5,10000.0,7.612679770155256,4.652435870450972,7762.129091314273,237.87090868572704,540.0000000000001,4562,6,18417.01397403667,18412.783580158706,-55.49591865943814,0.0001148633486713382,4.652905648293762,2.9602309425399027
500.0,35000.0,8000.0,1.0,10000.0,7.612679770155256,3.1037200916828045,7640.511165265822,359.48883473417845,408.04479166666675,2570,5,41424.63105222474,41330.89075132176,-0.000577839012889489,0.001132737717798586,3.102463749016657,4.508967720662705
500.0,35000.0,8000.0,2.0,10000.0,7.612679770155256,3.1037752040068556,7640.5067806425905,359.49321935740954,204.0248842592593,1285,3,41472.75835681102,41285.91411907971,0.0032293439638480903,0.0022576997931635845,3.1009685093954094,4.509023970228999
500.0,35000.0,8000.0,3.0,10000.0,7.612679770155256,3.103724538093676,7640.511471169768,359.4885288302321,136.01481481481483,856,2,41516.39501666173,41239.39646804772,-0.00025196395493892623,0.0033471802232135856,3.099879574332147,4.5089637354110925
500.0,35000.0,8000.0,4.0,10000.0,7.612679770155256,3.10372564849268,7640.511879041696,359.4881209583036,102.0109953703704,642,2,41565.10679447718,41190.74008191513,-0.00018503021857556247,0.004523749398894061,3.098489312110036,4.508958470753462
500.0,35000.0,8000.0,5.0,10000.0,7.612679770155256,3.103889161783295,7640.499642883842,359.50035711615783,81.61157407407407,514,1,41613.388478756526,41151.59161461345,0.010851289779560968,0.005579616688388124,3.0965169258510743,4.509115499007599
500.0,35000.0,8000.0,7.0,10000.0,7.612679770155256,3.1040512284677857,7640.489650021595,359.51034997840543,58.29560185185185,367,1,41712.04055057131,41061.17131739372,0.020798332404937708,0.007863283524817483,3.0929259817885533,4.509243704133517
500.0,35000.0,8000.0,9.0,10000.0,7.612679770155256,3.103922556625342,7640.50198850371,359.49801149629,45.3394675925926,285,1,41805.00782297702,40961.67512602892,0.012908972166303692,0.01018927745923681,3.0905307426542987,4.509085278536436
500.0,35000.0,9000.0,0.5,10000.0,7.612679770155256,4.985849316688434,8762.129095557611,237.87090444238856,540.0000000000001,4872,6,16035.777645168158,16033.66869076315,-61.248191870158884,6.576210836060938e-05,4.986096304666286,2.626869172611085
500.0,35000.0,9000.0,1.0,10000.0,7.612679770155256,3.1037256573041265,8595.574385386168,404.4256146138323,459.0511574074075,2891,6,41418.92529987548,41336.96567210988,-0.00013174635633119786,0.000990378168888871,3.102606639548612,4.508975431384795
500.0,35000.0,9000.0,2.0,10000.0,7.612679770155256,3.1037341053544765,8595.57397751424,404.42602248576077,229.52581018518518,1445,3,41459.9635379758,41296.34938850232,0.00037813146855384967,0.001977059437372877,3.1014425212214816,4.508980058803099
